"Cliente","Database","Totale Fatture","Data Attivazione","Data rilevazione"
"AGL","agl",1000,"01/08/2019","04/08/2020"
"Alphaservice","alphaservice",5000,"01/01/2021","30/09/2025"
"Came","cameprinting",1000,"01/01/2020","04/08/2020"
"CopyService","copyservice",14000,"01/01/2019","15/10/2025"
"Forpress","forpress",9000,"01/01/2020","15/10/2025"
"Futuro","futuro",49,"01/01/2021","30/04/2025"
"Gallo Arti Grafiche","galloartigrafiche",8000,"01/03/2023","15/10/2025"
"Green Hub","greenhub",1,"01/01/2019","10/12/2019"
"Impronta Digitale","improntadigitale",11000,"01/01/2019","15/10/2025"
"Leonardo","leonardo",6100,"01/05/2019","23/02/2021"
"Locopress","locopress",100,"01/01/2021","05/02/2021"
"Nuova Carrozzeria Lux","carrozzerialux",1,"01/01/2019","10/12/2019"
"Oplaprint","oplaprint",1000,"01/01/2020","14/06/2022"
"Pointec","pointec",4000,"01/01/2019","22/06/2020"
"PrintIdeas","printideas",3000,"01/01/2020","14/06/2022"
"Servizi Grafici","servizigrafici",10000,"01/01/2019","15/10/2025"
"SHS-AV srl","shs-av",1000,"01/01/2019","15/10/2025"
"Tipitalia","tipitalia",1200,"01/01/2020","05/02/2021"
"Vampigroup","vampigroup",5600,"01/01/2020","30/09/2023"
"XFP","xfp",1951,"13/03/2025","15/10/2025"
"Zavixtech","zavixtech",12500,"01/03/2019","15/10/2025"
"Zeroincombenze","zeroincombenze",50,"31/03/2025","15/10/2025"
